"name","address","state","overview","theme","establishment_year","website","contact_info","admission_fee","timings","facilities"
"Dharohar, Haryana Cultural Museum","Kurukshetra University, Thanesar-136119 Haryana","Haryana","The Museum displays the State’s rich historical, cultural, archaeological, and architectural heritage. The Museum has over 23 galleries that showcase the region’s rich heritage through paintings, photographs, artefacts, and manuscripts. It also has an open-air amphitheatre where folk performances are held on a regular basis","Thematic Museum","2013","https://new.kuk.ac.in","98962-43643, 70821-13125, dharohar@kuk.ac.in","Adult: Rs.30 per head , Rs.10 per head for children between the age 5 to 10 years/K.U. Students (Regular), Rs.20 per head for Students on tour with I Card","10:00 AM - 04:30 PM (Closed on Mondays)","Photography and Guided tours"
"Museo Camera Centre for the Photographic Arts","Shri Ganesh Mandir Marg, DLF Phase IV , Gurugram - 122002","Delhi","The permanent display of the Museum was inspired by Aditya Arya’s personal collection, who is a prominent Indian photographer and visual historian as well as the Museum’s founding Director. The Museum houses around 3000 pieces, including antique cameras, equipment, and photographic ephemera. These vintage cameras were acquired from over 100 different countries and are housed in a cutting-edge fa cility that includes a darkroom, big format digital printers, film scanners, and a workshop area","Thematic Museum","2009","https://www.museocamera.org","contact@museocamera.org","General Visitors (Indians): Rs. 200 per head, General Visitors (Non Indians): Rs. 300 per head, Children under the age of 10 years are exempted from entry tickets","11:00 AM to 07:00 PM (Closed on Mondays)","Photography"
"Kangra Fort Museum","Kangra Fort Museum-176001, Kangra","Himachal Pradesh","The Museum has a moderate collection of stone tools of the Prehistoric period, sculptures, coins and paintings of the historical periods. All artefacts are classifie d and arranged in four main sections in different Museum Galleries","Archaeological Museum","2002","https://asi.nic.in","(01882) 261232","Free","10:00 AM - 05:00 PM (Closed on Fridays)","Photography"
"Shri Chandra Mani Kashyap Museum","Bhagwahan Muhalla, Mandi Nagar-175001, Mandi","Himachal Pradesh","The Museum holds a huge collection of carefully preserved coins, stone sculptures, old manuscripts, wooden objects and paintings","Archaeological Museum","1957","","","Free","09:00 AM-06:00 PM",""
"Bhuri Singh Museum, Chamba","176310, District Chamba","Himachal Pradesh","The art objects displayed in the Museum were related to art, craft and cultural history of the Chamba State. Museum possesses more than 8500 antiquities and art objects related to Art, Archaeology, Craft and Cultural Anthropology like; Pahari paintings, wall paintings from Rang Mahal, Chamba rumals, sculptures, bronzes, copper plates, historical letters, wood carvings, arms, ornaments, old photographs, textiles and other articles of antiquity, coins, manuscripts etc.","Arts and Crafts Museum","1908","https://www.bhurisinghmuseumchamba.in","01899222590, info@bhurisinghMuseumchamba.in","Adults: Rs.15 per head, Youth: (19 – 24) Rs.12 per head, Children: Rs.8 per head","10.00 AM - 05.00 p.m and Sunday: 11:00 AM - 05.00 PM (Closed on Mondays)","Photography"
"Museum of Kan gra Art","Kotwali Bazar, Dharamshala -176215 Kangra","Himachal Pradesh","Museum exhibits a good collection of almost 1500 artefacts from a wide timeline which includes paintings from the 17th century, artefacts from the 5th century, and even works of modern artists","Arts and Crafts Museum","1990","https://www.kangraartmuseum.in","1892-224214","Adults: Rs.40. per head","09.00 AM - 05.00 PM (Closed on Mondays)","Cafe, Library, Guided tours, and Photography"
"Norbulingka Institute (Losel Dolls Museum)","Sidhpur-176 057, Dharamshala","Himachal Pradesh","Museum exhibits Thangka paintings, ornately carved woodwork, carpet weaving, textiles, sculpture and other crafts. Museum also displays more than 150 dolls dressed in regional Tibetan costumes.","Arts and Crafts Museum","1990","https://www.norbulingka.org","(01892) 246402, 246405, normail@morbulingka.org","Adults: Rs.40 per head","09:00 AM - 05:30 PM (Closed on Monday)","Library, Guided Service, Photography, and Parking"
"Himalayan Folk Art Museum","Himalayan Folk and Tribal Art, Urusvati, Naggar","Himachal Pradesh","The exhibits include a gallery of Russian folk art, a collection of Regional Folk art, costumes, paintings by Roerich’s Russian admirers, costumes, metal sculptures, enamel, glassware, stone sculptures, textile, wood carving, Horik Paintings, Kumaon Alpana masks, miniature paintings etc.","Arts and Crafts Museum","1996","","098162 11183","Adults: Rs.10 per head and Children: Rs.05 per head","09.00 AM - 05.30 PM (Closed on Mondays)","Library, Guided Service, Photography, and Parking"
"Himalayan Art Museum","Kandi, Khaniyara, Dharamshala-176216","Himachal Pradesh","The Museum intended to show viewers the finest Thangka paintings produced by Buddhi st artists in the twenty-first century and to trace the history of Buddhist art over 2300 years. Museum exhibits 40 masterpiece paintings, sacred materials like mineral pigments, glue, pure gold and silver along with the sacred tools used in the creation of the paintings","Art and Crafts Museum","2020","https://livingbuddhistart.com","9418655401, museumofhimalayanarts@gmail.com","Rs.500 per head","10:00 AM - 07:00 PM","Not Av ailable"
"Regimental Museum","1 GR and 4 GR, 14 GTC, Sebathu, District Solan","Himachal Pradesh","Museum showcases items of historical value belonging to 1GR and 4GR, photographs, captured arms, uniforms, medals, Roll of honours etc.","Army Museum","1980","","01793 25045","Free","10:00 AM - 12:00 PM (Closed on Sundays)","Photography"
"Army Heritage Museum","Annadale Rd, Annadale, Shimla-171003","Himachal Pradesh","Museums represents Indian Army rich traditions of more than 5,000 years old through its collection","Defence Museum","2006","https://indianarmy.nic.in","01793 25045","Free","Summers: 10:00 AM - 02:00 pm and Winters: 03:00 PM - 05:00 PM","Photography"
"Kyelang Museum","Lower keylong village, Keylong- 175132","Himachal Pradesh","The Museum goal is to present the history, religious legacy, and contemporary lifestyle as well as the natural splendour of the Himalayan region by utilising the most recent tools of display and information technology. The museum offers a kaleidoscopic perspective of the nature, life, hist ory, and culture of the entire Himalayan region through a variety of artefacts of material culture and audio-visual mediums","Ethnographic Museum","2008","https://hplahaulspiti.nic.in","","","","Library and Research"
"Regional Museum","Geological Survey of India, Saketi","Himachal Pradesh","The museum exhibits Six life-size fibreglass models of prehistoric animals that lived in the region 1-2.5 million years ago. These animals’ fossilised remains have been discovered in the rocks around Saketi and surrounding regions. Many spectacular fossil examples from this collection have been displayed in the Park’s Museum like: Colossochelys Atlas (extinct giant land turtle), Gavialis Browni (extinct gharial), Sivatherium Giganteum (extinct four-horned giraffe), Paramachairodus (sabre-toothed tiger), Stegodon Ganesa (extinct large-tusked elephant), and Hexaprotodon Sivalensis are among them. (extinct hippopotamus). Other important displays include Fish, Crocodiles, Land Tortoises, Elephants, Hippopotamus, Rhinoceros, Giraffes, Camels, Suids, Horses, Bovids, Rodents, and Primates are also included in the Museum collection","Geological Museum","1974","https://museum.gsi.gov.in","5222336079","Free","10:30 AM - 05:00 PM (Closed on Sundays)","Library, Guided Tours, Film shows, and Photography ART AND CRAFT MUSEUM/GALLERY"
"Shimla Heritage Museum","Chaura Maidan Rd, Shimla-171004","Himachal Pradesh","The Museum is housed in the former United Services Club building (1862), where some 1947 committee sessions convened as part of the efforts to delineate the Indo-Pakistan border. Museum showcases a large number of artefacts that date back to 1862. These exhibits include images of the historic Shimla city as well as old documents that detail the city’s history","Historical Museum","","","","Indian Rs.10 per head and Foreigners Rs.50 per head","10.00 AM – 05.00 PM (Closed on Saturdays and Sundays)","Photography, Videography, Seminars, Workshops, Cafe, Guided Tours, Amphitheatre, and Conference  room"
"Dagshai Central Jail and Museum","Dagshai-173210","Himachal Pradesh","Museum has artefacts from the time when Britain was in control as well as old images of houses that depict the Neighbourhood’s history. The Dagshai History Museum is another facility besides the jail. There are historical records about how the area was during the war and pictures of steam engines, railway tracks, old Dagshai customs","Historical Museum","2011","","","Free","09.30 AM - 12. 30 p.m .and 04:30PM - 06.00pm (Closed on Mondays)","Library and Photography"
"Library of Tibetan Works and Archives","Gangchen Kyishong-176215 Dharamsala","Himachal Pradesh","The Museum exhibits various collections of rare artefacts of Tibetan Culture, which was brought into exile by Tibetan Refugees post 1959 and mainly presented to His Holiness the Dalai Lama","Religious Museum","1974","https://tibetanlibrary.org","9218422467, 9882255047, ltwa1970@gmail.com","Free","09:00 AM - 05:00 PM (Closed on Sundays, second, third, fourth and fifth Saturdays)","Photography"
"Himachal Darshan Photo gallery","Shila Kippar-175124","Himachal Pradesh","Museum put up on display a total of 50,000 photographs and transparencies","Thematic Museums","1997","https://www.himachaldarshanphotogallery.com","(09105)235641, 225125, birbalsharma1956@yahoo.com","Free","Summers: 09:00 AM - 08:00 PM and Winters: 09:30 AM - 07.30 PM","Library and Photography"
"Agriculture Museum","University Rd, Near CSKHPKV Library Building, Holta, Banuri-176062","Himachal Pradesh","Museum exhibits agricultural important and research findings of crops and l atest Agricultural Technologies developed by the University","Thematic Museums","1985","","(01894) 230399","Free","10:00 AM - 05:00 PM (Closed on Sundays)","Photography"
"Bamboo Museum","In CSIR-IHBT, Holta, Banuri-176062","Himachal Pradesh","","Thematic Museum","2011","","","","","Not Available  MULTIPURPOSE MUSEUM"
"Baba Bhalku Rail Museum","Old Bus Stand Rd, Lalpani, Shimla-171001","Himachal Pradesh","The Museum has all of the KLK-SML section’s heritage-worthy relics on exhibit. A large variety of seals and labels used by porters and other railroad employees are on display at the Museum. Moreover, there are brass lamps, lanterns, steam locomotive headlights, and ticket punching machines on display. One of the oldest items in the Museum is a rail liner that was really used on the railway and dates to 1899. The Shivalik Palace is another prominent component of the Museum","Thematic Museums","2011","https://www.livingbuddhistart.com","9418655401","Free","09:30 AM - 04:30 PM (Closed on Mondays)","Guided Tours, Film Shows and Photography"
"Himalayan Art Museum","Kandi, Khaniyara, Dharamshala-176216","Himachal Pradesh","The Museum exhibits dried and preserved fruits, samples of fruits, disease and pest symptoms on plant parts, photographs and charts of temperate fruits and ornamentals","Thematic Museums","2011","","9418655401","Free","09:30 AM - 04:30 PM",""
"Sanskriti Museum and Art Gallery","Dipugarha, Canary Hill Road - 825301, Hazaribagh","Jharkhand","The collection includes stone tools of Palaeolithic to Neolithic age, objects of Bronze and Iron age, pot - teries and Buddhist antiquities along with a newly opened galley of local art and craft Ownership: Private Website: Not Available Social Media : Not Available Contact: 08084211028 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Mondays) Facilities: Library and Research 216 Directory of Museums in India ARCHAEOLOGICAL MUSEUM 10.2 Dipugarha, Canary Hill Road - 825301, Hazaribagh State/UT: Jharkhand Year of Establishment: 1991 Theme: Anthropological Museum Overview : The collection includes stone tools of Palaeolithic to Neolithic age, objects of Bronze and Iron age, pot - teries and Buddhist antiquities along with a newly opened galley of local art and craft Ownership: Private Website: Not Available Social Media : Not Available Contact: 08084211028 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Mondays) Facilities: Library and Research 216 Directory of Museums in India ARCHAEOLOGICAL MUSEUM 10.2 Jharkhand Year of Establishment: 1991 Theme: Anthropological Museum Overview : The collection includes stone tools of Palaeolithic to Neolithic age, objects of Bronze and Iron age, pot - teries and Buddhist antiquities along with a newly opened galley of local art and craft Ownership: Private Website: Not Available Social Media : Not Available Contact: 08084211028 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Mondays) Facilities: Library and Research 216 Directory of Museums in India ARCHAEOLOGICAL MUSEUM 10.2 1991 Theme: Anthropological Museum Overview : The collection includes stone tools of Palaeolithic to Neolithic age, objects of Bronze and Iron age, pot - teries and Buddhist antiquities along with a newly opened galley of local art and craft Ownership: Private Website: Not Available Social Media : Not Available Contact: 08084211028 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Mondays) Facilities: Library and Research 216 Directory of Museums in India ARCHAEOLOGICAL MUSEUM 10.2 Anthropological Museum Overview : The collection includes stone tools of Palaeolithic to Neolithic age, objects of Bronze and Iron age, pot - teries and Buddhist antiquities along with a newly opened galley of local art and craft","Anthropological Museum","1991","","8084211028","","10:00 AM - 05:00 PM (Closed on Mondays)","Library, Guided Tours and Photography"
"Zarina Khatoon Museum - Cum - Research Centre","Belal Nagar, Chitarpur - 825101","Jharkhand","The collection of the museum includes archaeological and anthropological objects such as stone tools, potteries, coins, manuscripts, ornaments, musical instruments and ethnographic objects","Archaeological Museum","2004","","91 9934146524","Rs.10 per head","Summers: 09:00 AM - 04:00 PM and Winters: 10:00 AM - 04:00 PM","Photography"
"Audrey House","Kanke Rd, Ranchi University, Morabadi, Ranchi - 834001","Jharkhand","","Art and Craft Museum/Galleries","2016","","979845109","Free","12:00 PM - 08:00 PM (Closed on Mondays)",""
"Gallery Museum","The Punjab Regimental Centre - 829130, Ramgarh Cantt","Jharkhand","Museum houses an excellent display of War trophies, uniforms, guns, colours, fla gs, medals, old books, Tipu Sultan Cash Chest, Japanese Flag captured during World War II in Burma, ceremonial dresses, etc","Defence Museum","1979","https://www.indianarmy.nic.in","06553 222040, 222050, 223060, punjabrc@yahoo.co.in","Free","Summer: 08:00 AM - 12:00 PM and 05:00 PM - 06:00 PM and Winters: 08:00 AM - 12:00 PM and 04:00 PM - 05:00 PM (Closed on Tuesdays)","Library, Photography and Guided Tours"
"The Sikh Regimental Centre","Ramgarh Cantt - 829130","Jharkhand","Museum houses an excellent display of vintage weapons captured by Battalions of Sikh Regiment, his- torical photographs, souvenirs, old uniforms, uniforms of distinguished Soldiers, medals and mementoes","Defence Museum","1976","","06553 222050 -6254","Free","Summers: 07:30 AM - 01:00 PM and Winters: 08:00 AM - 01:30 PM","Library, Photography and Guided Tours"
"The Sikh Regimental Centre","Ramgarh Cantt - 829130","Jharkhand","The collection includes ethnographic objects from Central Indian States, Andaman and Nicobar Islands and Nagaland","Ethnographic Museum","1953","https://www.ruanthropology.in","0651 2541677","Free","11:00 AM - 04:30 PM (Closed on Sundays and all Government Holidays)","Library, Photography and Guided Tours"
"Tribal Research Institute and Museum","Tagore Hill Rd, Tetartoli, Adalhatu, Ranchi - 834008","Jharkhand","The collection includes ethnographic objects from the tribes of Bihar, the models of Asur, Birhor, Pahariya, Birsa Bhagwan and Kartik Oraon, Sidhu Kanhu, musical instruments of the tribes, ornaments of the tribal women etc","Ethnographic Museum","1974","https://www.trijharkhand.com","2551824, tri.directorate@gmail.com","","March - October: 10:00 AM - 05:00 PM November - February: 10:30 AM - 05:00 PM","Library, Photography and Guided Tours"
"Geological Museum","NH 32, Govindpur Rd, IIT, Sardar Patel Nagar, Dhanbad - 826004","Jharkhand","The collection of the Museum includes rare specimens of minerals, rocks, fossils, collection of gemstones etc.","Geological Museum","1926","https://www.iitism.ac.in","0326 2235271","","10:00 AM - 05:00 PM (Closed on Saturdays & Sundays)","Library, Photography and Guided Tours"
"State Museum","Khel Gaon, Hotwar - 835217, Ranchi","Jharkhand","The collection of the museum includes Prehistoric implements, stone sculptures, terracottas, Numismatics, arms and Ethnographic objects of Jharkhand","Multipurpose Museum","1974","","0651 2270011","Free","10:30 AM - 04:30 PM (Closed on Sundays and Government Holiday)","Library, Photography and Guided Tours"
"Jamshedpur Coins Museum","G - 4, 138, Straight Mile Rd, Ambagan, Sakchi - 831001, Jamshedpur","Jharkhand","The collection includes old and rare coins of Gold, Silver, Copper, Iron and stone that belong to the medi - eval and British India","Thematic Museum","","","9204851001","","04:30 AM - 07:30 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"Zonal Anthropological Museum","Anthropological Survey of India, ‘Manav Bhavan’ 93/12 and 94/12, Bogaadi, Mysore - 507026","Karnataka","The Museum displays bamboo and cane baskets, rain hat and raincoat (made out of leaves), wooden toys, mats, wooden seats, wooden manuscripts, membrane musical instruments, tribal dresses and ornaments","Anthropological Museum","1965","","8212510341","Free","10:00 AM - 05:00 PM (Closed on Saturdays and Sundays)","Library, Photography and Guided Tours"
"Indira Gandhi Rashtriya Manav Sangrahalaya (Southern Regional Center of IGRMS)","Southern Region Centre, Government of India, Wellington House, Irwin Rd, Lashkar Mohalla, Mandi Mohalla, Mysore - 570001","Karnataka","There are three categories of exhibitions in IGRMS which depict the entire journey of different communities and their local culture and heritage. The main aim of these exhibitions is to present the cultural diversity of India and highlight the unity underlying this varied heritage","Anthropological Museum","2001","https://igrms.gov.in","8212448231","Free","10:00 AM - 05:30 PM (Closed on Sundays)","Photography and Guided Tours"
"Archaeolog ical Site Museum","Tehsil-Hunagenela, Aihole, Distt. Bagalkot - 587124","Karnataka","The Museum Collection includes sculptures of Early Western Chalukyas of 7th and 8th Century, Hero Stones and a few sculptures from Gummadidarru, Ramireddipalle, Alluru and Lingaraj Palli. The Museum houses 381 antiquities mainly consisting of stone sculptures of Brahmanical, Jaina and Buddhist faith, fragmentary carved architectural members, inscriptions, Hero Stones, Sati Stones, etc. The Museum is divided into six galleries and an open air gallery. Out of 381 antiquities, 145 are displayed in six galleries inside the Museum and open air gallery","Archaeological Museum","1987","https://www.asidharwadcircle.in","8351284551","Rs. 5 per head and free for Children up to 15 years","09:00 AM - 05:00 PM (Closed on Fridays)","Photography and Guided Tours"
"Archaeologi cal Museum","Bijapur - 586104","Karnataka","The Historic building in which the Museum functions is part of Gol Gumbaz complex known as Naqquar Khana (the Trumpet House). The Museum was established in 1892 and became a District Museum in 1912. The collection comprises stone inscriptions in Arabic, Persian, Kannada and Sanskrit languages inscribed in different scripts and written in varied calligraphy. The Museum also houses Brahmanical and Jaina sculptures, hero stones, illustrated and plain manuscripts, coins, Chinese wares, wooden carving, carpets, maps, Sanads and Farmans, miniature paintings, Bidri ware and other household articles, datatable from 6th to 18th century CE","Archaeological Museum","1912","https://www.asidharwadcircle.in","8352250728","Rs. 5 per head and free for Children up to 15 years","09:00 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"Archaeological S ite Museum","District Badami, Bagalkot - 587201","Karnataka","The Museum houses 181 antiquities including stone sculptures, Chalukya and Rashtrakuta (550-950 A.D), medieval hero stones and inscriptions etc. There are four galleries in the Museum and it is surrounded by an Open Air Gallery","Archaeological Museum","1982","","08357200057, mus.badami@gmail.com","Rs. 5 per head and free for Children up to 15 years","09:00 AM - 05:00 PM (Closed on Fridays)","Photography"
"Archaeological Museum","Hampi, Kamalapur post, Bellary - 583221","Karnataka","The Museum houses stone sculptures and architectural pieces of Vijayanagar period, gold coins, palm leaf manuscripts and copper plates, paintings, copper coins, miniature, metal objects, crystal, ivory and semi-precious objects","Archaeological Museum","1972","","8394241561","Rs. 5 per head and free entry for Children under 15 years","10:00 AM - 05:00 PM (Closed on Fridays)","Library and Photography"
"Archaeological Museum","Halebid, Hassan - 573121","Karnataka","The Museum houses wooden and stone sculptures, idols, coins, copper inscriptions, palm leaf manuscripts and miniatures","Archaeological Museum","1961","","817223227","Free","10:00 AM - 05:00 PM (Closed on Fridays)","Library and Photography"
"Government Museum","Basavakalyan, Bidar - 585327","Karnataka","The Museum collection displays the Prehistoric to Early historic tools, pottery, beads, coins, paintings, sculptures and inscriptions","Archaeological Museum","1996","https://archaeology.karnataka.gov.in","8481250838","Rs. 5 per head and free for Children up to 15 years","10:00 AM - 05:30 PM (Closed on Fridays)","Library"
"Kannada Research Institute","Karnataka University, Dharwad - 580003","Karnataka","The Museum displays prehistoric antiquities, terracotta, inscriptions, copper plates, sculptures, metal images, wooden figures, paintings, manuscripts, historical records and allied objects.","Archaeological Museum","1939","https://www.kud.ac.in","08362215233, Karuni@bgl.net.in","Free","11:00 AM - 05:30 PM (Closed on Fridays)","Not Available  ART AND CRAFT MUSEUMS/GALLERIES"
"State Archaeological Museum","Basava Mantapa Road, Chickpet, Chitradurga - 57750","Karnataka","The Museum antiquities includes arms, sculptures, portraits, manuscripts, which belonged to the Chitradurga District. The Museum also acquired the articles unearthed during the excavation at Chandravalli and Brahmagiri such as the coins, beads, pottery, ivory, sculptures, iron objects, glass, terracotta, modern sculptures, rare sculptures of Daksha, Brahma, Kala Bhairava etc.","Archaeological Museum","1951","","8194224202","Rs. 5 per head and free for Children up to 15 years","09:00 AM - 05:00 PM (Closed on Fridays)",""
"Government Museum","Maharaja Park, Hassan - 573201","Karnataka","The Museum antiquities includes archaeological objects, sculptures, inscriptions, arms, coins, paintings, bronzes and wood carvings. The Museum has a total collection of 104 coins. It has a rare collection of Sculptures collected from various parts of Hassan District","Archaeological Museum","1974","","08172263067, hassanmuseum.2018@gmail.com","Free","09:00 AM - 05:00 PM (Closed on Fridays)","Photography"
"Kittur Rani Chennamma Memorial Government Museum","Kittur, Belgaum - 591115","Karnataka","The Museum collection consists of archaeological objects, sculptures, inscriptions, arms and armoury, wood carving, folk art objects, modern and contemporary paintings","Archaeological Museum","1967","https://archaeology.karnataka.gov.in","08288286423, govtMuseumkittur1amh@gmail.com","Free","10:00 AM - 05:30 PM (Closed on Fridays)",""
"Government Museum","Fort Madikeri, Kodagu - 571201","Karnataka","The Museum collection consists of stone sculptures, old photographs, old dresses of Coorg Rajas and Britishers, old implements, arms, inscriptions, coins, bronzes, wooden carving, paintings, metal stones and wooden objects","Archaeological Museum","1971","https://archaeology.karnataka.gov.in","08272225674, rekhabaasoor@yahoo.in","Free","10:00 AM - 05:30 PM (Closed on Mondays)","Photography"
"Srimanthi Bai Memorial Government Museum","Bejai, Dakshina Kannad, Mangalore - 575004","Karnataka","This Museum houses archaeological objects such as the wood carvings, porcelain objects, palm-leaf manuscripts, stone sculptures, oil paintings, metal objects, paper manuscripts, photography, paper, paintings and coins","Archaeological Museum","1960","https://archaeology.karnataka.gov.in","08242211106, crtrmangalore@yahoo.com","Free","10:00 AM - 05:00 PM (Closed on Mondays)",""
"Museum of Art and Archaeology, P.G Department of Ancient History and Archaeology","University of Mysore, Manasa Gangotri, Mysore - 5 70006","Karnataka","The Museum houses archaeological specimens, excavated antiquities, sculptures, inscriptions and coins","Archaeological Museum","1972","","08242211106, crtrmangalore@yahoo.com","Free","10:00 AM - 05:30 PM (Closed on Sundays)",""
"Government District Museum","Shivappa Nayaka Palace Complex, Fort Road, Shimoga - 577 201","Karnataka","The Museum houses sculptures, inscriptions, paintings, arms, coins, paper manuscripts, palm leaf manuscripts, wood carvings and copper plates","Archaeological Museum","1982","https://archaeology.karnataka.gov.in","08182221992, thejucdurga@gmail.com","Adults: Rs. 20 per head and Children: Rs. 10 per head","10:00 AM - 05:30 PM (Closed on Sundays)",""
"Rastrakavi Govind Pai Sanshodana Kendra","Mahatma Gandhi Memorial College Museum, Kanjibettu - 576102","Karnataka","The Museum houses stone and wooden sculptures, bronzes, inscriptions, coins, metal, and folk art","Archaeological Museum","1971","","08202521159, 2575789, mgmcollegeudupi@dataone.in","Free","09:00 AM - 05:00 PM (Closed on Saturdays and Sundays)","Photography"
"Keladi Museum and Research Institute","Keladi - 577430","Karnataka","The Museum houses a wide range of stone sculpture to art objects, and extinguishing collections of coins can be seen from the times of Haider Ali, Tipu Sultan, Portuguese and Mysore Wodeyars","Archaeological Museum","1962","https://asiainch.org","","","09:00 AM - 05:30 PM",""
"Shivappa Nayaka Palace Museum","Double Road, Fort Road, Lashkar Mohalla, KR Puram, Shivamogga - 577202","Karnataka","The Museum houses collections from Prehistoric to Early - Historic period","Archaeological Museum","1982","https://archaeology.karnataka.gov.in","thejucdurga@gmail.com","Adults: Rs. 20 per head and Children: Rs. 10 per head","10:00 AM - 05:00 PM","Not Available  DEFENCE MUSEUMS"
"National Gallery of Modern Art","49, GF, Manikyavelu Mansion, Palace Rd, Vasanth Nagar, Bengaluru - 560052","Karnataka","The majority of the collection at NGMA is mainly composed of works of art which illustrates the historical evolution of modern art in India, including paintings, sculptures, graphic prints, and early examples of photography. The exhibition features Indian miniatures, works by Colonial artists, artists from the Bengal School, and Post- Independence artists who gave rise to contemporary modern and postmodern art","Art and Craft Museum","2009","https://ngmaindia.gov.in","8022342338","Rs. 20 per head","11:00 AM - 06:00 PM",""
"Folklore Museum","Manasa Gangothiri, Mysuru - 570006","Karnataka","","Art and Craft Museum","1968","https://www.uni-mysore.ac.in","8022352828","Free","10:00 AM - 05:00 PM","Guided Tours and Photography"
"Jaganmohan Palace Art Gallery and Auditorium","Jagan Mohan Palace Road, Subbarayanakere, Chamrajpura, Mysuru - 570004","Karnataka","The Museum displays paintings by Raja Ravi Varma depicting scenes from prominent Hindu epics such as Mahabharata and Ramayana, donated by former king of Mysuru Jayachamarajendra Wodeyar. The paintings depict war between Tipu Sultan and the British, paintings made on a grain of rice, lady with the lamp by Haldenkar, paintings by Rabindranatha Tagore, musical instruments, sculptures, brass items, coins and currencies from ancient times are on display","Art and Craft Museum","1951","","-8022352737","","08:30 AM - 05:30 PM",""
"Museum of Art and Photography","22, Kasturba Road, Shanthala Nagar, Ashok Nagar, Bengaluru - 560001","Karnataka","The Museum houses a collection of over 18,000 works of art predominantly from South Asia","Art and Craft Museum","2022","https://www.map-india.org","8040535200","Rs. 20 per head, free for Children and Non-Indian Nationals: Rs. 500 per head","10:00 AM - 06:30 PM (Closed on Mondays)","Photography"
"Karnataka Chitrakala Parishath","Art Complex, 1, Kumara Krupa Road, Near The Lalit Hotel, Kumara Park East, Seshadripuram, Bengaluru - 560001","Karnataka","The Museum houses collections ranging from traditional Mysore paintings, leather puppets and sculptures","Art and Craft Museum","1960","https://chitrakalaparishath.org","8022261816","Rs. 50 per head","10:00 AM - 05:30 PM (Closed on Sundays)","Library, Photography and Guided Tours"
"Click Art Museum","Varthur Rd, Whitefield, Palm Meadows, Bengaluru - 560066","Karnataka","The Museum displays big pictures of optical illusions with Idyllic creations","Art and Craft Museum","","https://www.clickartmuseum.com","7625087122","Rs. 150 per head","11:30 AM - 08:00 PM",""
"Peepal Tree Art Gallery","269, 17th Cross Road, Sadashiva Nagar, Armane Nagar, Bengaluru - 560080","Karnataka","The gallery focuses on conceptual art, while also featuring selected works in conventional media such as portraiture and acrylic and oil paintings","Art and Craft Museum","2016","https://www.peepletree.in","9845753937","","Thursday to Friday: 02:00 PM - 06:00 PM, Saturday to Sunday: 11:00 AM - 06:00 PM (Closed on Mondays, Tuesdays, Wednesdays and Public Holidays)","Photography"
"Sublime Galleria","801, Vittal Mallya Road, KG Halli, D’ Souza Layout, Ashok Nagar, Bengaluru - 560001","Karnataka","Sublime Galleria is India’s first sky gallery. The gallery is pe rched on the bridge connecting two tall towers in UB City. The gallery displays photography work, digital art etc.","Art and Craft Museum","","https://sublimegalleria.com","8147376032","","11:00 AM - 08:00 PM (Closed on Wednesdays)","Library, Guided Tours and Photography"
"Crimson Art Gallery","The Hatworks Boulevard, 32, Cunningham Rd, Bengaluru - 560052","Karnataka","The gallery features rotating exhibitions of contemporary and modern Indian paintings and sculptures","Art and Craft Gallery","2004","https://www.crimsonartgallery.com","8065379223","","11:00 AM - 07:30 PM (Closed on Sundays)","Guided Tours"
"Muhua - The Art Gallery","344, 4th Main Road, Sadashiva Nagar, Armane Nagar, Bengaluru - 560080","Karnataka","The Gallery exhibits painting and sculptures by contemporary Indian artists","Art and Craft Museum","2004","https://www.mahuagallery.com","7259037535","","10:00 AM - 07:00 PM","Guided Tours, Photography and Film Shows"
"INS Chapal Warship Museum (K49)","NH 66, Kodibag, Karwar - 58130","Karnataka","","Warship Museum","2005","https://karnatakatourism.org","","","10:00 AM - 06:00 PM","Library, Guided Tours, School programmes and Photography"
"Madras Sappers Museum and Archives","KG Halli, D’ Souza Layout, Ashok Nagar, Bengaluru - 560001","Karnataka","This Museum chronicles the history and achievements of the oldest regiment of the Corps of Engineers of the Indian Army. The Museum has an excellent display of military history records and artefacts of army engineers exhibiting the Madras Sappers’s enduring legacy","Army Museum","1979","","08025566268, msma64@yahoo.in","Free","08:30 AM - 04:00 PM","Library, Publications, Photography and Certificate Course offered in Diploma in Folklore"
"The Maratha LIRC","Belgaum - 590009","Karnataka","The Museum chronicles the history and achievements of the regiment through an excellent display of objects of historical and Military importance, collection from ex-serviceman and a ffiliated battalions of the regiment","Army Museum","","","","Free","08:30 AM - 01:30 PM (Closed on Sundays)","Library and Guided Tours"
"Mahatma Gandhi Museum","Canara High School, Main Campus Dongerkeri, Kodialbail - 575003","Karnataka","The collection of the artefacts includes a wide range of skeletons and painting","Educational Museum","1930","","8242493210","Free","09:30 AM - 02:00 PM (Closed on Sundays)","Library and Photography with permission"
